Eid,Name,Type,Title,Dept,Hiredate,HomeOffice
1409,Marcus Reed,Corporate,VP Operations,D001,4/20/2006,CH001
2824,Valentina Brooks,Corporate,Chief Marketing Officer,D002,8/20/2020,CH001
1520,Valerie Boss,Corporate,Director of Data Analytics,D003,2/6/2014,CH001
5506,Priya Shah,Corporate,VP Information Technology,D003,2/13/2023,CH001
5012,Dana Collins,Corporate,Director of Human Resources,D004,11/6/2007,CH001
4657,Owen Gallagher,Corporate,Director of Loans,D005,6/25/2006,CH001
3286,Evan Humphrey,Corporate,VP of Loans and Credit,D005,12/30/2021,CH001
9935,George McGrath,Corporate,Manager of Accounts Recievable,D006,8/30/2002,CH001
2679,Sanjay Mehta,Corporate,VP Finance & Accounting,D006,10/16/2013,CH001
2424,Lena Fischer,Corporate,Chief Compliance Officer,D007,5/30/2002,CH001
7912,Noah Kim,Corporate,Director of Procurement,D008,6/18/2004,CH001
8359,Avery Patel,Branch,Branch Manager,D010,6/26/2023,B001
3615,Bugs Bunny,Branch,Branch Assistant Manager,D010,3/28/2013,B002
1106,Jordan Johnson,Branch,Branch Manager,D010,8/6/2018,B002
4527,Casey Smith,Branch,Branch Manager,D010,7/23/2013,B005
7924,Taylor Ramirez,Branch,Branch Manager,D010,11/30/2023,B003
5557,Morgan Wong,Branch,Branch Manager,D010,3/27/2009,B004
5552,Drew Brown,Branch,Branch Manager,D010,5/16/2017,B008
7873,Quinn Davis,Branch,Branch Manager,D010,8/12/2006,B009
6574,Parker Martinez,Branch,Branch Manager,D010,12/12/2010,B010
4611,Riley Nguyen,Branch,Branch Manager,D010,4/2/2013,B006
3547,Cameron Lee,Branch,Branch Manager,D010,12/13/2015,B007
9928,Finley Robinson,Branch,Branch Manager,D010,2/15/2006,B017
6514,Harper Walker,Branch,Branch Manager,D010,6/27/2015,B018
2674,Sawyer Young,Branch,Branch Manager,D010,4/13/2019,B019
8527,Jesse Nelson,Branch,Branch Manager,D010,10/6/2016,B027
1056,Alexis Parker,Branch,Branch Manager,D010,9/17/2014,B034
2252,Robin Phillips,Branch,Branch Manager,D010,1/26/2012,B032
1711,Hope Shurba,Branch,Branch Manager,D010,3/8/2008,B026
4582,Skyler Clark,Branch,Branch Manager,D010,8/27/2017,B012
6635,Dakota Green,Branch,Branch Manager,D010,2/22/2021,B024
4015,Charlie Campbell,Branch,Branch Manager,D010,2/25/2023,B033
3045,Devin Mitchell,Branch,Branch Manager,D010,2/8/2016,B029
1434,Neha Satpute,Branch,Branch Manager,D010,11/27/2016,B015
7224,Elliot King,Branch,Branch Manager,D010,8/23/2014,B021
1022,Jules Evans,Branch,Branch Manager,D010,5/10/2016,B035
6881,Bailey Scott,Branch,Branch Manager,D010,10/15/2022,B023
9279,Blake Thomas,Branch,Branch Manager,D010,4/30/2018,B014
9785,Marley Carter,Branch,Branch Manager,D010,5/14/2018,B028
6501,Sydney Turner,Branch,Branch Manager,D010,4/30/2021,B031
2584,Kendall Wright,Branch,Branch Manager,D010,2/1/2019,B022
2535,Hayden Wilson,Branch,Branch Manager,D010,9/17/2020,B011
2519,Logan Allen,Branch,Branch Manager,D010,2/20/2019,B020
5333,Spencer Baker,Branch,Branch Manager,D010,6/25/2020,B025
7201,Ari Perez,Branch,Branch Manager,D010,1/31/2020,B030
4257,Emerson Lewis,Branch,Branch Manager,D010,9/16/2021,B016
4811,Reese Anderson,Branch,Branch Manager,D010,9/19/2025,B013
